"Edad","Abandono","Viajes","Departamento","DistanciaDesdeCasa","Educacion","CampoDeEducacion","SatisfaccionEnAmbiente","Genero","Implicacion","NivelCargo","Puesto","SatisfaccionEnTrabajo","EstadoCivil","SueldoMensual","NumEmpresasTrabajadas","HorasExtra","PorcentajeAumentoSalarial","Rendimiento","RelacionSatisfaccion","NivelAcciones","AnosTotalesTrabajados","CursosUltimoAno","EquilibrioVidaTrabajo","AnosEnEmpresa","AnosEnPuestoActual","AnosDesdeUltimaPromocion","AnosConJefeActual","BeneficioNeto"
26,"Si","Viaja_Raramente","Investigacion & Desarrollo",25,3,"Ciencias de la Salud",1,"Hombre",1,1,"Tecnico de Laboratorio",3,"Soltero",2293,1,"No",12,3,3,0,1,2,2,1,0,0,1,76679.9802210666
27,"No","Viaja_frecuentemente","Ventas",8,3,"Ciencias de la Salud",4,"Hombre",3,3,"Ejecutivo de Ventas",3,"Soltero",8726,1,"No",15,3,4,0,9,0,3,9,8,1,7,16198.472090596
30,"No","Viaja_frecuentemente","Investigacion & Desarrollo",1,2,"Medicina",3,"Mujer",3,2,"Tecnico de Laboratorio",4,"Soltero",4011,1,"No",23,4,4,0,12,2,3,12,8,3,7,72787.4119991598
41,"Si","Viaja_Raramente","Investigacion & Desarrollo",12,3,"Tecnico",2,"Mujer",3,5,"Director de Investigacion",3,"Casado",19545,1,"No",12,3,4,0,23,0,3,22,15,15,8,17197.0589148876
34,"No","No_Viaja","Ventas",23,4,"Marketing",2,"Hombre",3,2,"Ejecutivo de Ventas",3,"Soltero",4568,0,"No",20,4,3,0,10,2,3,9,5,8,7,26972.7622237599
37,"No","Viaja_Raramente","Investigacion & Desarrollo",19,2,"Ciencias de la Salud",2,"Hombre",3,1,"Investigador Cientifico",2,"Casado",3022,4,"No",21,4,1,0,8,1,3,1,0,0,0,34467.3407246256
46,"No","Viaja_frecuentemente","Ventas",5,4,"Marketing",1,"Hombre",3,2,"Ejecutivo de Ventas",4,"Soltero",5772,4,"Si",21,4,3,0,14,4,3,9,6,0,8,51028.3838833689
35,"No","Viaja_Raramente","Investigacion & Desarrollo",8,1,"Ciencias de la Salud",4,"Hombre",4,1,"Tecnico de Laboratorio",4,"Casado",2269,1,"No",19,3,4,0,1,2,3,1,0,0,1,24519.7616598833
48,"Si","Viaja_Raramente","Investigacion & Desarrollo",1,2,"Ciencias de la Salud",1,"Hombre",2,3,"Tecnico de Laboratorio",3,"Soltero",5381,9,"Si",13,3,4,0,23,2,3,1,0,0,0,50092.0733147134
28,"Si","Viaja_Raramente","Investigacion & Desarrollo",5,4,"Tecnico",3,"Hombre",3,1,"Tecnico de Laboratorio",3,"Soltero",3441,1,"Si",13,3,3,0,2,3,2,2,2,2,2,57814.5171206609
44,"No","Viaja_Raramente","Ventas",1,5,"Marketing",2,"Mujer",3,2,"Ejecutivo de Ventas",1,"Divorciado",5454,5,"Si",21,4,3,1,9,2,2,4,3,1,3,28686.4909561638
35,"No","No_Viaja","Investigacion & Desarrollo",11,2,"Medicina",3,"Hombre",2,3,"Representante de Salud",1,"Casado",9884,2,"Si",13,3,3,1,10,3,3,4,0,2,3,28057.8307515359
26,"No","Viaja_Raramente","Ventas",23,3,"Marketing",3,"Mujer",2,2,"Ejecutivo de Ventas",4,"Casado",4157,7,"Si",19,3,3,1,5,2,2,2,2,0,0,45600.719113864
33,"No","Viaja_frecuentemente","Investigacion & Desarrollo",1,2,"Ciencias de la Salud",1,"Mujer",3,3,"Director de Investigacion",4,"Soltero",13458,1,"Si",12,3,3,0,15,1,3,15,14,8,12,60272.5617693325
35,"No","Viaja_frecuentemente","Ventas",18,5,"Ciencias de la Salud",2,"Hombre",3,3,"Ejecutivo de Ventas",1,"Casado",9069,1,"No",22,4,4,1,9,3,2,9,8,1,8,3551.17392214054
35,"No","Viaja_Raramente","Investigacion & Desarrollo",23,4,"Medicina",3,"Mujer",3,1,"Tecnico de Laboratorio",1,"Casado",4014,3,"Si",15,3,3,1,4,3,3,2,2,2,2,65584.1610463087
31,"No","Viaja_Raramente","Investigacion & Desarrollo",7,4,"Ciencias de la Salud",4,"Hombre",3,2,"Tecnico de Laboratorio",4,"Divorciado",5915,3,"No",22,4,4,1,10,3,2,7,7,1,7,33205.8732047637
37,"No","Viaja_Raramente","Investigacion & Desarrollo",1,4,"Ciencias de la Salud",1,"Hombre",2,2,"Manufacturing Director",3,"Divorciado",5993,1,"No",18,3,3,1,7,2,4,7,5,0,7,58436.9390545167
32,"No","Viaja_Raramente","Investigacion & Desarrollo",1,3,"Medicina",1,"Hombre",3,2,"Manufacturing Director",4,"Casado",6162,1,"Si",22,4,2,1,9,3,3,9,8,7,8,33109.3674826192
38,"No","Viaja_frecuentemente","Investigacion & Desarrollo",29,5,"Ciencias de la Salud",4,"Mujer",3,2,"Tecnico de Laboratorio",4,"Soltero",2406,1,"No",11,3,4,0,10,2,3,10,3,9,9,13798.3488954131
50,"No","Viaja_Raramente","Investigacion & Desarrollo",7,2,"Medicina",2,"Mujer",2,5,"Director de Investigacion",3,"Divorciado",18740,5,"Si",12,3,4,1,29,2,2,27,3,13,8,52132.2848394339
59,"No","Viaja_Raramente","Ventas",25,3,"Ciencias de la Salud",1,"Mujer",3,3,"Ejecutivo de Ventas",1,"Soltero",7637,7,"No",11,3,4,0,28,3,2,21,16,7,9,69149.3281405527
36,"No","Viaja_Raramente","Investigacion & Desarrollo",8,3,"Tecnico",3,"Mujer",3,3,"Representante de Salud",3,"Divorciado",10096,1,"No",13,3,2,3,17,2,3,17,14,12,8,89488.6288811782
55,"No","Viaja_Raramente","Investigacion & Desarrollo",8,3,"Medicina",4,"Mujer",3,4,"Manager",3,"Divorciado",14756,2,"Si",14,3,3,3,21,2,3,5,0,0,2,46989.7856417884
36,"No","Viaja_frecuentemente","Investigacion & Desarrollo",11,3,"Ciencias de la Salud",2,"Hombre",2,2,"Manufacturing Director",2,"Soltero",6499,1,"No",13,3,3,0,6,3,3,6,5,0,3,90834.5972729923
45,"No","Viaja_Raramente","Investigacion & Desarrollo",7,3,"Ciencias de la Salud",2,"Hombre",3,3,"Investigador Cientifico",1,"Divorciado",9724,2,"No",17,3,3,1,25,2,3,1,0,0,0,50471.3647024371
35,"No","Viaja_frecuentemente","Investigacion & Desarrollo",1,3,"Medicina",2,"Hombre",3,1,"Investigador Cientifico",1,"Casado",2194,4,"No",13,3,4,1,5,2,2,3,2,1,2,84462.3284187573
36,"Si","Viaja_Raramente","Investigacion & Desarrollo",9,3,"Medicina",4,"Hombre",2,1,"Investigador Cientifico",3,"Casado",3388,0,"Si",17,3,1,1,2,0,2,1,0,0,0,10344.2151605992
59,"No","Viaja_frecuentemente","Ventas",1,1,"Ciencias de la Salud",1,"Mujer",2,2,"Ejecutivo de Ventas",3,"Soltero",5473,7,"No",11,3,4,0,20,2,2,4,3,1,3,28575.7921470808
29,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Ciencias de la Salud",3,"Hombre",3,1,"Investigador Cientifico",2,"Casado",2703,0,"No",23,4,4,1,6,3,3,5,4,0,4,23724.5594564223
31,"No","Viaja_Raramente","Investigacion & Desarrollo",1,4,"Medicina",3,"Hombre",3,1,"Investigador Cientifico",2,"Soltero",2501,1,"No",17,3,2,0,1,4,3,1,1,1,0,-742.162700060464
32,"No","Viaja_Raramente","Investigacion & Desarrollo",1,3,"Ciencias de la Salud",2,"Hombre",3,2,"Investigador Cientifico",2,"Casado",6220,1,"No",17,3,2,2,10,3,3,10,4,0,9,53955.8935388513
36,"No","Viaja_Raramente","Investigacion & Desarrollo",6,3,"Ciencias de la Salud",2,"Mujer",4,1,"Tecnico de Laboratorio",4,"Casado",3038,3,"No",12,3,2,0,5,3,3,1,0,0,0,35756.2919724298
31,"No","Viaja_Raramente","Investigacion & Desarrollo",8,4,"Ciencias de la Salud",3,"Mujer",3,2,"Manufacturing Director",4,"Soltero",4424,1,"No",23,4,4,0,11,2,3,11,7,1,8,62301.7956534332
35,"No","Viaja_Raramente","Ventas",1,4,"Marketing",3,"Hombre",2,2,"Ejecutivo de Ventas",1,"Soltero",4312,0,"No",14,3,2,0,16,2,3,15,13,2,8,59461.0595346317
45,"No","Viaja_Raramente","Investigacion & Desarrollo",6,4,"Otro",4,"Hombre",3,3,"Director de Investigacion",1,"Casado",13245,4,"Si",14,3,2,0,17,3,4,0,0,0,0,14871.6154560946
37,"No","Viaja_Raramente","Investigacion & Desarrollo",7,4,"Medicina",1,"Hombre",3,3,"Director de Investigacion",3,"Soltero",13664,4,"No",13,3,1,0,16,3,4,5,2,0,2,23113.5890573641
46,"No","Viaja_Raramente","Recursos Humanos",5,2,"Medicina",2,"Hombre",3,2,"Recursos Humanos",2,"Divorciado",5021,8,"Si",22,4,4,1,16,2,3,4,2,0,2,40552.787191445
30,"No","Viaja_Raramente","Investigacion & Desarrollo",1,1,"Ciencias de la Salud",4,"Hombre",2,2,"Tecnico de Laboratorio",4,"Casado",5126,1,"Si",12,3,3,2,10,1,2,10,8,3,0,65559.1646917225
35,"No","Viaja_Raramente","Investigacion & Desarrollo",1,3,"Medicina",2,"Hombre",2,1,"Investigador Cientifico",3,"Soltero",2859,1,"No",18,3,1,0,6,3,3,6,4,0,4,38735.3877052475
55,"No","Viaja_Raramente","Ventas",1,2,"Ciencias de la Salud",1,"Hombre",3,3,"Ejecutivo de Ventas",4,"Casado",10239,3,"No",14,3,4,1,24,4,3,1,0,1,0,53282.618960683
38,"No","No_Viaja","Investigacion & Desarrollo",6,3,"Medicina",2,"Mujer",1,2,"Investigador Cientifico",4,"Divorciado",5329,7,"Si",12,3,4,3,17,3,3,13,11,1,9,29211.2356312388
34,"No","Viaja_Raramente","Investigacion & Desarrollo",1,2,"Medicina",1,"Hombre",3,2,"Manufacturing Director",2,"Casado",4325,1,"No",15,3,3,0,5,2,3,5,2,1,3,89702.8480721533
56,"No","Viaja_Raramente","Investigacion & Desarrollo",7,3,"Ciencias de la Salud",4,"Hombre",1,3,"Manufacturing Director",4,"Soltero",7260,4,"No",11,3,1,0,37,3,2,6,4,0,2,54470.1267311309
23,"No","Viaja_Raramente","Ventas",2,1,"Tecnico",3,"Hombre",3,1,"Representante de Ventas",1,"Divorciado",2322,3,"No",13,3,3,1,3,3,3,0,0,0,0,58985.682521821
51,"No","Viaja_Raramente","Investigacion & Desarrollo",9,4,"Ciencias de la Salud",4,"Hombre",3,1,"Tecnico de Laboratorio",4,"Casado",2075,3,"No",23,4,2,2,10,4,3,4,2,0,3,35737.905790804
30,"No","Viaja_Raramente","Investigacion & Desarrollo",2,3,"Ciencias de la Salud",3,"Hombre",2,2,"Representante de Salud",4,"Casado",4152,1,"No",19,3,1,3,11,3,3,11,10,10,8,102279.40578566
46,"Si","Viaja_Raramente","Ventas",9,2,"Medicina",3,"Hombre",2,3,"Ejecutivo de Ventas",4,"Soltero",9619,1,"No",16,3,4,0,9,3,3,9,8,4,7,58844.544832608
40,"No","Viaja_frecuentemente","Investigacion & Desarrollo",1,4,"Ciencias de la Salud",3,"Hombre",2,4,"Representante de Salud",2,"Casado",13503,1,"No",22,4,4,1,22,3,2,22,3,11,11,95042.4626531533
51,"No","Viaja_Raramente","Ventas",21,4,"Marketing",3,"Hombre",3,2,"Ejecutivo de Ventas",4,"Soltero",5441,0,"Si",22,4,4,0,11,2,1,10,7,1,0,3437.72380028625
30,"No","Viaja_Raramente","Ventas",4,2,"Medicina",3,"Mujer",2,2,"Ejecutivo de Ventas",2,"Divorciado",5209,1,"Si",12,3,2,3,11,4,2,11,8,2,7,-4575.75641360231
46,"No","Viaja_frecuentemente","Investigacion & Desarrollo",1,3,"Medicina",3,"Hombre",2,3,"Representante de Salud",1,"Casado",10673,2,"Si",13,3,3,1,21,5,2,10,9,9,5,43242.3870033737
32,"No","Viaja_Raramente","Ventas",6,4,"Medicina",2,"Hombre",3,2,"Ejecutivo de Ventas",3,"Soltero",5010,1,"No",16,3,1,0,12,0,3,11,8,5,7,38059.2254205794
54,"No","Viaja_Raramente","Investigacion & Desarrollo",2,4,"Tecnico",1,"Mujer",3,3,"Director de Investigacion",3,"Casado",13549,9,"No",12,3,1,1,16,5,1,4,3,0,3,49184.3027816099
24,"No","Viaja_Raramente","Ventas",3,2,"Otro",1,"Mujer",3,2,"Ejecutivo de Ventas",3,"Casado",4999,0,"No",21,4,1,1,4,2,2,3,2,0,2,44183.864121446
28,"No","No_Viaja","Ventas",4,3,"Medicina",2,"Hombre",3,2,"Ejecutivo de Ventas",3,"Casado",4221,1,"No",15,3,2,0,5,3,4,5,4,0,4,-25113.4585358185
58,"No","Viaja_Raramente","Ventas",10,4,"Medicina",4,"Hombre",3,4,"Ejecutivo de Ventas",3,"Soltero",13872,0,"No",13,3,3,0,38,1,2,37,10,1,8,46832.0105544827
44,"No","No_Viaja","Investigacion & Desarrollo",23,3,"Medicina",2,"Hombre",3,2,"Tecnico de Laboratorio",2,"Casado",2042,4,"No",12,3,3,1,17,3,4,3,2,1,2,34729.3827722623
37,"Si","Viaja_Raramente","Recursos Humanos",6,4,"Recursos Humanos",3,"Hombre",3,1,"Recursos Humanos",1,"Divorciado",2073,4,"Si",22,4,4,0,7,3,3,3,2,0,2,95518.3068130487
32,"No","Viaja_Raramente","Investigacion & Desarrollo",1,1,"Ciencias de la Salud",4,"Hombre",3,1,"Investigador Cientifico",1,"Soltero",2956,1,"No",13,3,4,0,1,2,3,1,0,0,0,42331.4359710645
20,"Si","Viaja_frecuentemente","Investigacion & Desarrollo",6,3,"Ciencias de la Salud",4,"Mujer",2,1,"Tecnico de Laboratorio",4,"Soltero",2926,1,"Si",18,3,2,0,1,5,3,1,0,1,0,39286.5582564593
34,"No","Viaja_Raramente","Investigacion & Desarrollo",6,4,"Otro",1,"Mujer",3,2,"Investigador Cientifico",3,"Soltero",4809,1,"No",14,3,3,0,16,3,3,16,13,2,10,57555.4902752559
37,"No","No_Viaja","Investigacion & Desarrollo",2,2,"Ciencias de la Salud",3,"Hombre",2,2,"Representante de Salud",4,"Divorciado",5163,5,"No",14,3,4,1,17,2,4,1,0,0,0,10523.5736039979
59,"No","No_Viaja","Recursos Humanos",2,4,"Recursos Humanos",3,"Mujer",2,5,"Manager",4,"Casado",18844,9,"No",21,4,4,1,30,3,3,3,2,2,2,57946.701779147
50,"No","Viaja_frecuentemente","Investigacion & Desarrollo",1,3,"Ciencias de la Salud",1,"Mujer",3,5,"Director de Investigacion",2,"Casado",18172,3,"Si",19,3,1,0,28,1,2,8,3,0,7,18165.173170401
25,"Si","Viaja_Raramente","Ventas",5,3,"Marketing",3,"Hombre",2,2,"Ejecutivo de Ventas",3,"Soltero",5744,1,"Si",11,3,4,0,6,1,3,6,4,0,3,37583.4486610255
25,"No","Viaja_Raramente","Investigacion & Desarrollo",7,1,"Medicina",4,"Hombre",2,1,"Investigador Cientifico",4,"Casado",2889,1,"No",11,3,3,2,2,2,3,2,2,2,1,47109.3452258881
22,"No","Viaja_Raramente","Investigacion & Desarrollo",15,3,"Medicina",2,"Mujer",3,1,"Tecnico de Laboratorio",4,"Soltero",2871,1,"No",15,3,3,0,1,5,3,0,0,0,0,27327.6343478899
51,"No","Viaja_frecuentemente","Investigacion & Desarrollo",1,4,"Medicina",1,"Mujer",2,3,"Representante de Salud",1,"Soltero",7484,3,"No",20,4,3,0,23,1,2,13,12,12,8,36348.5005514989
34,"Si","Viaja_frecuentemente","Investigacion & Desarrollo",7,3,"Ciencias de la Salud",1,"Hombre",1,2,"Tecnico de Laboratorio",3,"Soltero",6074,1,"Si",24,4,4,0,9,3,3,9,7,0,6,116802.964347356
54,"No","No_Viaja","Recursos Humanos",26,3,"Recursos Humanos",4,"Mujer",4,4,"Manager",4,"Soltero",17328,2,"Si",12,3,3,0,23,3,3,5,3,4,4,47787.1334677486
24,"No","Viaja_Raramente","Investigacion & Desarrollo",18,1,"Ciencias de la Salud",2,"Hombre",3,1,"Tecnico de Laboratorio",3,"Casado",2774,0,"No",12,3,3,1,6,2,3,5,3,1,2,89973.0504659694
34,"No","Viaja_Raramente","Investigacion & Desarrollo",6,4,"Ciencias de la Salud",3,"Mujer",2,2,"Investigador Cientifico",2,"Divorciado",4505,6,"No",15,3,3,1,12,3,3,1,0,0,0,30423.3493071767
37,"No","Viaja_Raramente","Ventas",3,3,"Ciencias de la Salud",3,"Hombre",3,3,"Ejecutivo de Ventas",4,"Soltero",7428,2,"No",12,3,1,0,12,3,3,5,3,1,3,70996.7150631744
34,"No","Viaja_Raramente","Investigacion & Desarrollo",5,3,"Medicina",3,"Mujer",2,3,"Manager",1,"Soltero",11631,2,"No",12,3,4,0,14,6,3,11,10,5,8,44352.3389666824
36,"No","Viaja_frecuentemente","Ventas",11,2,"Tecnico",2,"Mujer",3,3,"Ejecutivo de Ventas",4,"Casado",9738,0,"No",14,3,3,1,10,6,3,9,7,2,8,31699.3461302639
36,"No","Viaja_Raramente","Investigacion & Desarrollo",3,2,"Ciencias de la Salud",1,"Mujer",3,1,"Tecnico de Laboratorio",4,"Divorciado",2835,5,"No",22,4,1,1,7,2,3,1,0,0,0,17854.6000477557
43,"No","Viaja_frecuentemente","Ventas",26,2,"Ciencias de la Salud",3,"Hombre",3,4,"Manager",4,"Casado",16959,1,"Si",12,3,4,2,25,3,4,25,12,4,12,22445.3616326306
30,"No","Viaja_frecuentemente","Investigacion & Desarrollo",23,3,"Ciencias de la Salud",1,"Hombre",1,1,"Investigador Cientifico",3,"Divorciado",2613,1,"No",25,4,3,3,10,2,2,10,7,0,9,32492.1243010868
33,"No","No_Viaja","Ventas",22,2,"Marketing",3,"Hombre",3,2,"Ejecutivo de Ventas",2,"Casado",6146,0,"No",13,3,1,1,8,2,4,7,7,0,7,88059.1550799684
56,"Si","Viaja_Raramente","Investigacion & Desarrollo",14,4,"Ciencias de la Salud",2,"Mujer",3,1,"Investigador Cientifico",2,"Casado",4963,9,"Si",18,3,1,3,7,2,3,5,4,4,3,77080.5995978494
